letters,phonic,word,split,choice1,choice2,choice3
a,ă,sat,s a t,sit,set,sip
a,ă,tap,t a p,tip,top,sip
a,ă,pat,p a t,pit,put,pot
i,ĭ,sit,s i t,sat,set,sap
i,ĭ,pit,p i t,put,pot,pet
i,ĭ,tip,t i p,tap,top,tan
i,ĭ,pip,p i p,pop,pup,pap
i,ĭ,sip,s i p,sap,sop,sat
n,n,pan,p a n,pat,pal,pad
n,n,pin,p i n,pit,pip,pig
n,n,tin,t i n,tip,tic,tap
n,n,tan,t a n,tap,tag,tar
n,n,nap,n a p,tap,sap,gap
m,m,man,m a n,fan,pan,ran
m,m,mat,m a t,fat,bat,ran
m,m,map,m a p,tap,gap,lap
d,d,sad,s a d,sat,sam,sap
d,d,dip,d  i p,pip,sip,tip
d,d,dad,d a d,gag,can,tap
d,d,did,d i d,gig,bib,pip
d,d,and,a n d,ant,any,ink
